,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,ws-dum,ows,dws,ws,ws_per_48,id
252,1948-49,28,INJ,BAA,,54,,,.319,.196,,,,,,-2.3,1.9,-0.3,,brookpr01
253,1949-50,29,ROC,NBA,,7,,,.592,.565,,,,,,0.5,0.1,0.5,,brookpr01
254,1948-49,25,PRO,BAA,,20,,,.410,.423,,,,,,0.5,0.0,0.4,,brownbo01
255,1949-50,26,DNN,NBA,,62,,,.414,.330,,,,,,2.1,-0.9,1.2,,brownbo01
256,1948-49,25,BLB,BAA,,3,,,.291,.333,,,,,,0.0,0.0,0.0,,brownda01
257,1957-58,22,MNL,NBA,,1,6,-7.2,.174,1.000,,,,,,0.0,0.0,0.0,-0.308,brownge01
258,1946-47,23,DTF,BAA,,54,,,.304,.305,,,,,,0.2,2.6,2.9,,brownha01
259,1946-47,27,CLR,BAA,,5,,,.000,.000,,,,,,-0.1,0.0,-0.1,,brownle01
260,1947-48,18,PHW,BAA,,19,,,.315,.268,,,,,,0.0,0.3,0.3,,brownst01
261,1951-52,22,PHW,NBA,,15,141,6.1,.381,.286,,,,,,-0.1,0.0,-0.1,-0.035,brownst01
262,1948-49,19,CHS,BAA,,4,,,.521,1.000,,,,,,0.0,0.0,0.1,,brownji01
263,1949-50,20,DNN,NBA,,31,,,.392,.563,,,,,,0.1,-0.1,0.0,,brownji01
264,1964-65,26,NYK,NBA,PG,77,1332,7.1,.381,.305,,,,16.8,,-1.5,0.8,-0.7,-0.026,bryanem01
265,1965-66,27,NYK,NBA,PG,71,1193,13.1,.505,.225,,,,24.3,,1.6,0.3,2.0,.079,bryanem01
266,1966-67,28,NYK,NBA,PG,63,1593,10.0,.435,.198,,,,17.4,,-0.5,0.6,0.1,.003,bryanem01
267,1967-68,29,NYK,NBA,PG,77,968,8.0,.430,.296,,,,17.1,,-0.4,0.9,0.5,.024,bryanem01
268,1968-69,30,BOS,NBA,PG,80,1388,8.8,.431,.205,,,,16.7,,-0.5,2.4,1.9,.066,bryanem01
269,1969-70,31,BOS,NBA,PG,71,1617,11.1,.463,.348,,,,18.0,,-0.1,1.8,1.7,.051,bryanem01
270,1970-71,32,BUF,NBA,PG,73,2137,11.6,.470,.297,,,5.6,22.6,,0.7,1.4,2.1,.047,bryanem01
271,1971-72,33,BUF,NBA,PG,54,1223,9.7,.504,.568,,,5.0,21.6,,0.8,0.3,1.1,.044,bryanem01
272,1961-62,24,CIN,NBA,PF,63,728,14.5,.489,.323,,,,,,0.9,0.4,1.2,.082,buckhjo01
273,1962-63,25,CIN,NBA,PF,2,12,-2.8,.170,.400,,,,,,-0.1,0.0,-0.1,-0.329,buckhjo01
274,1961-62,23,NYK,NBA,PF,62,696,15.7,.469,.362,,,,,,0.6,0.7,1.3,.087,buckncl01
275,1962-63,24,NYK,NBA,PF,6,27,14.0,.510,.400,,,,,,0.0,0.0,0.1,.102,buckncl01
276,1960-61,22,NYK,NBA,SF,61,1075,10.7,.475,.371,,,,,,0.9,0.3,1.2,.055,buddda01
277,1961-62,23,NYK,NBA,SF,79,1370,11.6,.483,.536,,,,,,1.2,1.1,2.3,.081,buddda01
278,1962-63,24,NYK,NBA,SF,78,1725,13.8,.540,.339,,,,,,3.2,0.9,4.1,.113,buddda01
279,1963-64,25,NYK,NBA,SF,73,1031,11.3,.489,.387,,,,,,0.8,0.1,0.9,.041,buddda01
