,season,school_name,conf_abbr,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,fg2_per_poss,fg2a_per_poss,fg2_pct,fg3_per_poss,fg3a_per_poss,fg3_pct,ft_per_poss,fta_per_poss,ft_pct,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,poss-dum,off_rtg,def_rtg,id,cbb_id
232,2011-12,Tennessee State,OVC,33,32,1028,12.4,23.6,.526,8.6,15.1,.570,3.8,8.5,.448,5.9,7.5,.775,15.2,2.5,3.0,2.6,4.5,5.7,34.5,,121.0,94.2,covinro01,robert-covington-1
233,2012-13,Tennessee State,OVC,23,21,712,10.5,24.0,.435,7.2,15.6,.461,3.3,8.4,.388,7.8,9.2,.850,15.0,2.5,4.1,3.2,4.6,5.2,32.0,,113.7,94.1,covinro01,robert-covington-1
234,2010-11,University of California,Pac-10,31,31,1049,7.7,17.4,.446,4.3,8.7,.490,3.5,8.6,.400,4.1,5.1,.804,9.2,3.4,1.6,0.8,2.6,2.7,23.1,,114.8,104.6,crabbal01,allen-crabbe-1
235,2011-12,University of California,Pac-12,34,33,1158,9.3,21.6,.431,5.0,10.8,.464,4.3,10.8,.399,3.9,4.6,.843,10.1,3.7,0.9,1.0,2.8,2.5,26.9,,114.3,95.6,crabbal01,allen-crabbe-1
236,2012-13,University of California,Pac-12,33,33,1195,10.8,23.6,.459,7.6,14.3,.532,3.2,9.3,.348,5.7,7.0,.813,10.1,4.4,1.9,1.2,4.2,3.5,30.6,,110.8,97.8,crabbal01,allen-crabbe-1
237,2010-11,South Carolina Upstate,A-Sun,30,25,916,10.5,27.6,.380,5.9,13.1,.448,4.6,14.5,.318,3.6,5.3,.679,14.6,3.0,2.0,0.7,5.6,5.5,29.1,,94.1,104.3,craigto01,torrey-craig-1
238,2011-12,South Carolina Upstate,A-Sun,34,33,1010,11.1,25.5,.435,6.4,11.9,.534,4.8,13.6,.349,5.0,7.4,.682,15.1,3.0,2.6,2.1,5.3,5.3,32.0,,109.8,95.1,craigto01,torrey-craig-1
239,2012-13,South Carolina Upstate,A-Sun,33,32,1022,11.4,26.6,.427,6.8,14.0,.483,4.6,12.5,.364,6.0,8.4,.715,13.3,3.7,1.9,1.5,5.2,4.0,33.3,,107.3,98.5,craigto01,torrey-craig-1
240,2013-14,South Carolina Upstate,A-Sun,34,34,1113,11.0,26.9,.408,7.3,14.4,.509,3.7,12.5,.292,5.0,8.1,.616,12.7,4.1,1.7,1.5,4.5,4.5,30.6,,102.4,102.1,craigto01,torrey-craig-1
241,2010-11,Marquette,Big East,37,17,1021,9.1,18.8,.485,6.7,12.0,.555,2.4,6.7,.359,4.4,7.2,.616,14.5,3.3,2.8,1.8,1.7,4.9,25.1,,124.5,97.4,crowdja01,jae-crowder-1
242,2011-12,Marquette,Big East,35,35,1153,10.6,21.4,.498,7.7,12.7,.602,3.0,8.7,.345,5.8,7.9,.735,14.4,3.6,4.3,1.7,2.2,4.6,30.1,,125.7,85.9,crowdja01,jae-crowder-1
243,2009-10,Oregon State,Pac-10,32,19,611,6.7,13.1,.512,6.0,10.9,.547,0.7,2.2,.333,6.4,8.5,.747,6.6,3.0,4.4,0.3,7.7,8.4,20.5,,90.7,97.0,cunnija01,jared-cunningham-2
244,2010-11,Oregon State,Pac-10,30,29,877,7.6,17.5,.437,5.9,12.6,.466,1.8,4.9,.360,10.8,13.9,.779,6.0,4.1,5.5,0.4,4.8,5.1,27.8,,112.2,100.8,cunnija01,jared-cunningham-2
245,2011-12,Oregon State,Pac-12,36,35,1245,9.0,19.9,.450,6.7,13.2,.507,2.3,6.7,.338,9.0,12.2,.737,6.3,4.6,4.1,0.7,4.6,3.9,29.2,,111.4,100.5,cunnija01,jared-cunningham-2
246,2008-09,Liberty,Big South,35,34,1277,,,.417,,,.488,,,.347,,,.832,,,,,,,,,,,curryse01,seth-curry-1
247,2010-11,Duke,ACC,37,19,924,6.2,14.7,.423,2.3,5.7,.402,3.9,9.1,.435,4.1,5.2,.788,4.1,4.6,3.2,0.3,2.2,3.9,20.5,,125.8,95.3,curryse01,seth-curry-1
248,2011-12,Duke,ACC,34,32,1026,8.0,19.2,.420,4.4,9.6,.456,3.7,9.5,.383,5.9,6.7,.873,5.1,4.7,2.5,0.4,3.9,4.2,25.6,,115.5,103.9,curryse01,seth-curry-1
249,2012-13,Duke,ACC,35,35,1130,10.2,22.0,.465,5.3,10.7,.493,4.9,11.3,.438,6.4,7.9,.809,4.6,2.8,1.6,0.3,2.2,3.1,31.8,,124.8,102.4,curryse01,seth-curry-1
250,2009-10,VCU,CAA,26,0,157,6.8,18.4,.367,1.1,3.0,.375,5.6,15.4,.366,1.9,2.3,.833,6.0,2.3,0.8,0.8,0.8,5.6,21.0,,124.2,104.1,danietr01,troy-daniels-1
251,2010-11,VCU,CAA,27,1,126,8.8,28.7,.305,0.0,2.4,.000,8.8,26.3,.333,0.5,1.5,.333,10.2,0.5,2.4,0.0,1.9,8.3,26.7,,94.4,101.5,danietr01,troy-daniels-1
252,2011-12,VCU,CAA,36,20,879,7.8,20.9,.375,1.3,3.6,.346,6.6,17.3,.381,3.0,3.6,.843,8.3,1.3,2.9,0.1,2.4,4.1,25.2,,113.7,94.2,danietr01,troy-daniels-1
253,2012-13,VCU,A-10,36,36,947,9.2,22.0,.417,1.5,3.0,.510,7.6,19.0,.403,1.2,1.7,.704,6.9,1.4,2.0,0.2,2.0,4.7,27.2,,122.8,98.7,danietr01,troy-daniels-1
254,2009-10,BYU,MWC,35,1,474,8.2,15.2,.539,8.2,15.1,.543,0.0,0.1,.000,5.9,10.5,.568,12.4,1.1,1.5,1.7,5.6,10.8,22.3,,96.3,93.5,daviebr01,brandon-davies-1
