,season,school_name,conf_abbr,g,gs,mp,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,id,cbb_id
954,1976-77,Mississippi State,SEC,27,,753,.554,,.585,,,,,,,,peckwi01,wiley-peck-1
955,1977-78,Mississippi State,SEC,27,,867,.562,,.754,,,,,,,,peckwi01,wiley-peck-1
956,1978-79,Mississippi State,SEC,28,,1013,.648,,.661,,,,,,,,peckwi01,wiley-peck-1
957,1963-64,Florida,SEC,22,,,.473,,.490,,,,,,,,peekri01,richard-peek-1
958,1951-52,LSU,SEC,24,,,.465,,.353,,,,,,,,pettibo01,bob-pettit-1
959,1952-53,LSU,SEC,23,,,.536,,.541,,,,,,,,pettibo01,bob-pettit-1
960,1953-54,LSU,SEC,25,,,.546,,.538,,,,,,,,pettibo01,bob-pettit-1
961,1974-75,Bradley,MVC,26,,,.573,,.514,,,,,,,,pheglro01,roger-phegley-1
962,1975-76,Bradley,MVC,26,,845,.575,,.412,,,,,,,,pheglro01,roger-phegley-1
963,1976-77,Bradley,MVC,27,,959,.621,,.456,,,,,,,,pheglro01,roger-phegley-1
964,1977-78,Bradley,MVC,24,,878,.612,,.486,,,,,,,,pheglro01,roger-phegley-1
965,1974-75,Auburn,SEC,25,,,.468,,.223,,,,,,17.3,,pietkst01,stan-pietkiewicz-1
966,1975-76,Auburn,SEC,25,,,.481,,.165,,,,,,,,pietkst01,stan-pietkiewicz-1
967,1976-77,Auburn,SEC,23,,,.526,,.233,,,,,,,,pietkst01,stan-pietkiewicz-1
968,1977-78,Auburn,SEC,27,,,.574,,.384,,,,,,,,pietkst01,stan-pietkiewicz-1
969,1941-42,Stanford,PCC,23,,,,,,,,,,,,,pollaji01,jim-pollard-1
970,1973-74,Central Michigan,MAC,25,,,.482,,.315,,,,,,,,poquebe01,ben-poquette-1
971,1974-75,Central Michigan,MAC,19,,,.445,,.275,,,,,,,,poquebe01,ben-poquette-1
972,1975-76,Central Michigan,MAC,26,,,.521,,.314,,,,,,,,poquebe01,ben-poquette-1
973,1976-77,Central Michigan,MAC,28,,,.534,,.358,,,,,,,,poquebe01,ben-poquette-1
974,1969-70,Saint Francis (PA),Ind,23,,,.490,,.345,,,,,,,,porteke01,kevin-porter-1
975,1970-71,Saint Francis (PA),Ind,24,,,.508,,.348,,,,,,,,porteke01,kevin-porter-1
976,1971-72,Saint Francis (PA),Ind,25,,,.495,,.274,,,,,,,,porteke01,kevin-porter-1
977,1976-77,Penn,Ivy,25,,,.429,,.284,,,,,,,,priceto01,tony-price-1
978,1977-78,Penn,Ivy,28,,,.486,,.268,,,,,,,,priceto01,tony-price-1
979,1978-79,Penn,Ivy,32,,,.568,,.417,,,,,,,,priceto01,tony-price-1
980,1976-77,Santa Clara,WCAC,27,,,.535,,.394,,,,,,,,rambiku01,kurt-rambis-1
981,1977-78,Santa Clara,WCAC,27,,,.552,,.534,,,,,,,,rambiku01,kurt-rambis-1
982,1978-79,Santa Clara,WCAC,27,,763,.544,,.324,,,,,,,,rambiku01,kurt-rambis-1
983,1979-80,Santa Clara,WCAC,27,,860,.557,,.425,,,,,,15.8,,rambiku01,kurt-rambis-1
984,1976-77,Ohio State,Big Ten,25,24,789,.427,,.101,,,,,,11.8,,ranseke01,kelvin-ransey-1
985,1977-78,Ohio State,Big Ten,27,27,948,.517,,.193,,5.2,24.0,,0.4,14.7,,ranseke01,kelvin-ransey-1
986,1978-79,Ohio State,Big Ten,31,31,1163,.574,,.256,,5.4,22.8,,0.2,14.0,,ranseke01,kelvin-ransey-1
987,1979-80,Ohio State,Big Ten,29,27,1069,.534,,.282,,,,,,16.1,,ranseke01,kelvin-ransey-1
988,1968-69,Oklahoma,Big 8,25,,,.489,,.377,,,,,,,,raycl01,clifford-ray-1
989,1969-70,Oklahoma,Big 8,23,,,.451,,.416,,,,,,,,raycl01,clifford-ray-1
990,1970-71,Oklahoma,Big 8,27,,,.531,,.409,,,,,,,,raycl01,clifford-ray-1
991,1976-77,Jacksonville,Sun Belt,28,,,.513,,.343,,,,,,20.2,,rayja01,james-ray-1
992,1977-78,Jacksonville,Sun Belt,23,,676,.588,,.286,,,,,,22.6,,rayja01,james-ray-1
993,1978-79,Jacksonville,Sun Belt,30,,874,.607,,.345,,,,,,,,rayja01,james-ray-1
994,1979-80,Jacksonville,Sun Belt,29,29,882,.565,,.381,,,,,,,,rayja01,james-ray-1
995,1973-74,San Francisco,WCAC,9,,,.580,,.111,,,,,,,,redmoma01,marlon-redmond-1
996,1974-75,San Francisco,WCAC,26,,,.505,,.263,,,,,,,,redmoma01,marlon-redmond-1
997,1975-76,San Francisco,WCAC,23,,673,.504,,.212,,,,,,,,redmoma01,marlon-redmond-1
998,1976-77,San Francisco,WCAC,28,,826,.520,,.150,,,,,,,,redmoma01,marlon-redmond-1
999,1962-63,Notre Dame,Ind,16,,,.463,,.272,,,,,,,,reedro01,ron-reed-2
1000,1963-64,Notre Dame,Ind,18,,,.430,,.243,,,,,,,,reedro01,ron-reed-2
1001,1964-65,Notre Dame,Ind,27,,,.455,,.211,,,,,,,,reedro01,ron-reed-2
1002,1976-77,New Mexico,WAC,30,,779,.454,,.248,,,,,,,,reidbi01,billy-reid-1
1003,1978-79,San Francisco,WCAC,29,,771,.532,,.342,,,,,,,,reidbi01,billy-reid-1
1004,1979-80,San Francisco,WCAC,29,,783,.609,,.476,,,,,,,,reidbi01,billy-reid-1
1005,1971-72,San Francisco,WCAC,26,,,.474,,.191,,,,,,,,restake01,kevin-restani-1
1006,1972-73,San Francisco,WCAC,28,,,.528,,.140,,,,,,,,restake01,kevin-restani-1
1007,1973-74,San Francisco,WCAC,27,,,.492,,.119,,,,,,,,restake01,kevin-restani-1
1008,1975-76,Seattle,WCAC,26,,,.518,,.243,,,,,,,,richacl01,clint-richardson-1
1009,1976-77,Seattle,WCAC,24,,,.509,,.263,,,,,,,,richacl01,clint-richardson-1
1010,1977-78,Seattle,WCAC,26,,,.533,,.200,,,,,,,,richacl01,clint-richardson-1
1011,1978-79,Seattle,WCAC,26,,,.545,,.362,,,,,,,,richacl01,clint-richardson-1
1012,1974-75,Montana,Big Sky,29,,,.506,,.309,,,,,,,,richami01,micheal-ray-richardson-1
1013,1975-76,Montana,Big Sky,25,,,.557,,.317,,,,,,,,richami01,micheal-ray-richardson-1
1014,1976-77,Montana,Big Sky,26,,,.489,,.206,,,,,,,,richami01,micheal-ray-richardson-1
1015,1977-78,Montana,Big Sky,27,,,.508,,.280,,,,,,,,richami01,micheal-ray-richardson-1
1016,1951-52,Duquesne,Ind,27,,,.441,,.317,,,,,,,,rickedi01,dick-ricketts-2
1017,1952-53,Duquesne,Ind,29,,,.407,,.355,,,,,,,,rickedi01,dick-ricketts-2
1018,1953-54,Duquesne,Ind,29,,,.456,,.248,,,,,,,,rickedi01,dick-ricketts-2
1019,1954-55,Duquesne,Ind,26,,,.483,,.517,,,,,,,,rickedi01,dick-ricketts-2
1020,1947-48,Tulane,SEC,,,,.369,,.237,,,,,,,,riffeji01,jim-riffey-1
1021,1948-49,Tulane,SEC,28,,,.408,,.184,,,,,,,,riffeji01,jim-riffey-1
1022,1949-50,Tulane,SEC,22,,,.379,,.165,,,,,,,,riffeji01,jim-riffey-1
1023,1964-65,Kentucky,SEC,25,,825,.455,,.241,,,,,,,,rileypa01,pat-riley-1
1024,1965-66,Kentucky,SEC,29,,1078,.543,,.298,,,,,,,,rileypa01,pat-riley-1
1025,1966-67,Kentucky,SEC,26,,953,.505,,.418,,,,,,,,rileypa01,pat-riley-1
1026,1973-74,Oral Roberts,Ind,26,,,.479,,.178,,,,,,,,roberan01,anthony-roberts-1
1027,1974-75,Oral Roberts,Ind,28,,,.499,,.228,,,,,,,,roberan01,anthony-roberts-1
1028,1975-76,Oral Roberts,Ind,26,,,.508,,.171,,,,,,,,roberan01,anthony-roberts-1
1029,1976-77,Oral Roberts,Ind,28,,,.575,,.249,,,,,,,,roberan01,anthony-roberts-1
1030,1957-58,Cincinnati,MVC,28,,1085,.626,,.575,,,,,,,,roberos01,oscar-robertson-1
1031,1958-59,Cincinnati,MVC,30,,1172,.583,,.612,,,,,,,,roberos01,oscar-robertson-1
1032,1959-60,Cincinnati,MVC,30,,1155,.579,,.515,,,,,,,,roberos01,oscar-robertson-1
1033,1974-75,Kentucky,SEC,31,,616,.577,,.254,,,,,,16.3,,robeyri01,rick-robey-1
1034,1975-76,Kentucky,SEC,12,,357,.597,,.431,,,,,,,,robeyri01,rick-robey-1
1035,1976-77,Kentucky,SEC,30,,823,.606,,.583,,,,,,17.7,,robeyri01,rick-robey-1
1036,1977-78,Kentucky,SEC,32,32,915,.664,,.665,,,,,,16.2,,robeyri01,rick-robey-1
1037,1977-78,USC,Pac-8,24,,724,.533,,.272,,,,,,,,robincl01,cliff-robinson-1
1038,1978-79,USC,Pac-10,21,,670,.507,,.317,,,,,,,,robincl01,cliff-robinson-1
1039,1973-74,UNLV,WCAC,25,,,.473,,.313,,,,,,,,robinja01,jackie-robinson-1
1040,1974-75,UNLV,WCAC,27,,855,.514,,.314,,,,,,14.4,,robinja01,jackie-robinson-1
