,season,age,team_id,lg_id,pos,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,id
108,,30,LAL,NBA,SG,82,,3061,11.0,24.9,.442,7.1,8.3,.864,1.3,2.2,3.5,6.0,1.8,0.2,,3.2,29.1,,,101,goodrga01
109,,31,LAL,NBA,SG,72,,2668,11.1,24.2,.459,5.4,6.4,.841,1.6,2.1,3.7,7.1,1.7,0.1,,3.6,27.6,,,104,goodrga01
110,1975-76,32,LAL,NBA,SG,75,,2646,9.8,22.2,.441,4.9,5.8,.847,1.6,2.0,3.6,7.1,2.1,0.3,,4.0,24.5,,,102,goodrga01
111,1976-77,33,NOJ,NBA,SG,27,,609,10.0,22.4,.446,5.0,6.2,.800,1.8,2.6,4.5,5.4,1.6,0.1,,3.2,25.0,,,102,goodrga01
112,1977-78,34,NOJ,NBA,SG,81,,2553,9.0,18.2,.495,4.6,5.8,.795,1.3,1.8,3.1,6.7,1.4,0.4,3.6,3.2,22.6,,107,105,goodrga01
113,1978-79,35,NOJ,NBA,SG,74,,2130,7.9,17.6,.449,3.6,4.2,.853,1.4,2.4,3.8,7.4,1.9,0.3,3.8,3.7,19.5,,100,108,goodrga01
114,1978-79,22,NOJ,NBA,PG,59,,809,5.0,13.0,.388,2.6,3.4,.762,1.1,2.6,3.7,7.7,3.3,0.3,4.9,6.1,12.7,,84,105,greento01
115,1977-78,25,PHO,NBA,SF,36,,422,6.2,17.3,.361,2.3,3.7,.639,4.5,6.0,10.5,2.4,1.6,0.0,4.0,5.7,14.8,,81,99,griffgr01
116,1975-76,23,KCK,NBA,SG,66,,1145,6.9,16.7,.412,3.4,4.6,.726,3.1,4.4,7.4,2.7,1.9,0.5,,5.7,17.1,,,101,hansegl01
117,1976-77,24,KCK,NBA,SG,41,,289,10.5,24.2,.432,3.6,5.0,.719,4.4,4.8,9.2,3.9,2.0,0.5,,6.9,24.5,,,100,hansegl01
