,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
479,1968-69,23,MMF,ABA,PF,64,1138,10.3,.447,.000,.417,,,11.8,4.9,13.0,17.1,,-0.4,1.1,0.7,.029,sparkda01
480,1969-70,24,MMF,ABA,PF,3,52,12.5,.460,.000,.333,,,14.0,5.1,16.2,17.0,,0.0,0.0,0.0,.036,sparkda01
481,1967-68,,NJA,ABA,SF,70,1590,18.0,.511,.007,.490,,,9.1,6.3,8.9,21.1,,3.0,1.3,4.3,.131,spragbr01
482,1969-70,21,MMF,ABA,SF,53,1058,6.7,.432,.015,.241,,,5.2,10.1,17.7,21.6,,-0.9,0.7,-0.2,-0.011,stagger01
483,1970-71,23,TOT,TOT,,12,72,4.6,.385,.063,.188,,,10.9,3.9,16.0,31.7,,-0.2,0.1,-0.2,-0.122,stewade01
484,1970-71,23,BAL,NBA,,2,6,24.4,.410,,.500,,,22.0,21.8,,,,0.0,0.0,0.0,.015,stewade01
485,1970-71,23,FLO,ABA,,10,66,2.8,.382,.068,.159,,,9.9,2.3,16.0,31.7,,-0.2,0.0,-0.2,-0.134,stewade01
486,1967-68,,ANA,ABA,PF,25,403,9.9,.477,.000,.181,,,9.9,4.4,15.8,15.9,,0.2,0.1,0.3,.042,stollra01
487,1967-68,26,NOB,ABA,,7,33,5.7,.649,.091,.909,,,2.6,4.3,36.9,27.1,,0.2,0.0,0.2,.292,stroure01
488,1967-68,24,KEN,ABA,C,1,5,-4.8,,,,,,8.7,0.0,,0.0,,0.0,0.0,0.0,.039,sutorge01
489,1968-69,25,MNP,ABA,C,64,886,11.4,.390,.000,.287,,,17.4,4.2,11.8,20.3,,-1.7,1.7,0.0,-0.001,sutorge01
490,1969-70,26,TOT,ABA,C,14,147,2.3,.290,.022,.370,,,17.4,2.5,17.1,16.6,,-0.5,0.2,-0.3,-0.102,sutorge01
491,1969-70,26,CAR,ABA,C,11,135,3.4,.326,.024,.366,,,17.6,1.9,18.8,16.5,,-0.4,0.2,-0.2,-0.065,sutorge01
492,1969-70,26,MMF,ABA,C,3,12,-9.1,.000,.000,.400,,,15.1,9.4,0.0,17.6,,-0.1,0.0,-0.1,-0.517,sutorge01
493,1968-69,23,HSM,ABA,PF,77,2447,15.2,.459,.006,.477,,,14.2,5.4,9.5,17.4,,-0.2,2.5,2.3,.045,swageke01
494,1969-70,24,KEN,ABA,PF,3,30,4.2,.339,.111,.333,,,8.8,12.3,16.2,14.9,,-0.1,0.0,0.0,-0.046,swageke01
495,,25,TOT,ABA,SG,73,2853,17.3,.491,.010,.377,,,6.0,13.8,13.7,25.9,,4.6,1.2,5.8,.098,tartle01
496,,25,OAK,ABA,SG,42,1768,18.0,.493,.012,.373,,,6.7,13.5,14.6,27.5,,3.1,0.4,3.5,.094,tartle01
497,,25,NJA,ABA,SG,31,1085,16.2,.487,.006,.385,,,4.9,14.3,11.9,23.2,,1.5,0.9,2.4,.104,tartle01
