,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_40,id,cbb_id
902,2004-05,Duke,ACC,33,32,1138,.532,.508,.469,.252,,,,,,,,17.1,,,1.9,2.3,4.1,.146,ewingda01,daniel-ewing-1
903,2003-04,Indiana,Big Ten,28,9,331,.528,.533,.016,.443,,,,,,,,24.5,,,0.3,0.9,1.2,.144,ewingpa02,pat-ewing-1
904,2004-05,Indiana,Big Ten,29,5,463,.515,.489,.068,.614,,,,14.9,10.6,,3.0,22.5,17.4,,0.4,1.0,1.3,.116,ewingpa02,pat-ewing-1
905,2006-07,Georgetown,Big East,36,0,521,.605,.614,.356,.426,,,,9.3,14.5,,2.5,21.9,16.8,,1.1,1.0,2.1,.159,ewingpa02,pat-ewing-1
906,2007-08,Georgetown,Big East,34,12,738,.598,.575,.329,.521,,,,11.6,16.0,,2.3,23.6,17.1,,1.4,2.0,3.4,.184,ewingpa02,pat-ewing-1
907,2004-05,UCLA,Pac-10,29,29,997,.537,.469,.349,.466,,,,5.9,29.7,,0.2,24.1,22.9,,1.5,1.0,2.6,.103,farmajo01,jordan-farmar-1
908,2005-06,UCLA,Pac-10,37,37,1125,.518,.485,.450,.302,,,,5.4,37.6,,0.6,21.9,29.4,,1.7,2.2,3.9,.139,farmajo01,jordan-farmar-1
909,2000-01,USC,Pac-10,32,16,600,.502,.485,.395,.407,,,,,,,,18.0,,,0.4,0.6,1.0,.068,farmede01,desmon-farmer-1
910,2001-02,USC,Pac-10,31,5,696,.578,.546,.407,.375,,,,8.0,14.2,,0.3,12.4,19.5,,1.6,1.2,2.8,.162,farmede01,desmon-farmer-1
911,2002-03,USC,Pac-10,30,27,978,.529,.470,.430,.359,,,,7.7,11.0,,0.1,11.0,26.9,,1.8,1.1,2.9,.118,farmede01,desmon-farmer-1
912,2003-04,USC,Pac-10,28,27,987,.531,.484,.570,.364,,,,7.2,10.8,,0.3,12.3,27.5,,1.8,0.6,2.4,.097,farmede01,desmon-farmer-1
913,2009-10,Georgia Tech,ACC,36,35,989,.621,.611,.003,.488,420,12.6,19.9,16.5,7.9,1.8,7.9,20.0,21.8,,2.3,2.5,4.8,.195,favorde01,derrick-favors-1
914,2003-04,Nevada,WAC,34,22,915,.601,.567,.218,.342,,,,,,,,8.2,,,2.7,2.9,5.6,.247,fazekni01,nick-fazekas-1
915,2004-05,Nevada,WAC,32,32,1009,.597,.539,.227,.523,,,,16.7,7.5,,3.5,11.2,31.0,,4.4,3.4,7.8,.309,fazekni01,nick-fazekas-1
916,2005-06,Nevada,WAC,33,33,1051,.607,.559,.211,.359,,,,18.1,16.3,,3.2,9.0,31.1,,4.9,4.2,9.1,.346,fazekni01,nick-fazekas-1
917,2006-07,Nevada,WAC,32,32,969,.641,.600,.149,.346,,,,21.1,13.3,,3.3,11.2,29.9,,4.8,2.9,7.6,.315,fazekni01,nick-fazekas-1
918,1992-93,Michigan State,Big Ten,14,,55,.148,.133,.067,.267,,,,,,,,19.1,,,,,,,feickja01,jamie-feick-1
919,1993-94,Michigan State,Big Ten,32,,506,.543,.551,.029,.594,,,,,,,,19.9,,,,,,,feickja01,jamie-feick-1
920,1994-95,Michigan State,Big Ten,28,28,875,.616,.617,.000,.517,,,,,,,,17.0,,,,,,,feickja01,jamie-feick-1
921,1995-96,Michigan State,Big Ten,32,,986,.501,.470,.243,.429,,,,,,,,17.6,,,0.9,2.1,2.9,.119,feickja01,jamie-feick-1
922,1999-00,Fresno State,WAC,33,,350,.547,.548,.000,.597,,,,,,,,,,,0.3,0.5,0.9,.100,felixno01,noel-felix-1
923,2000-01,Fresno State,WAC,33,0,413,.481,.462,.054,.247,,,,,,,,20.6,,,0.1,0.9,1.0,.096,felixno01,noel-felix-1
924,2001-02,Fresno State,WAC,34,29,811,.515,.511,.099,.263,,,,,,,,16.1,,,0.7,1.3,2.1,.102,felixno01,noel-felix-1
925,2002-03,Fresno State,WAC,28,23,640,.536,.510,.026,.304,,,,,,,,22.1,,,0.9,1.8,2.7,.167,felixno01,noel-felix-1
926,2002-03,UNC,ACC,35,35,1240,.519,.489,.509,.301,,,,6.4,36.8,,0.5,23.1,22.1,,1.5,1.5,3.0,.096,feltora01,raymond-felton-1
927,2003-04,UNC,ACC,30,30,1039,.543,.485,.416,.390,,,,6.2,33.8,,0.5,24.2,18.2,,1.4,1.8,3.2,.124,feltora01,raymond-felton-1
928,2004-05,UNC,ACC,36,35,1142,.589,.561,.482,.406,,,,7.4,34.6,,0.6,24.7,20.4,,2.7,2.5,5.1,.179,feltora01,raymond-felton-1
929,2006-07,Stanford,Pac-10,30,0,420,.463,.444,.532,.185,,,,10.1,10.3,,0.7,15.1,19.2,,0.0,0.5,0.5,.047,fieldla01,landry-fields-1
930,2007-08,Stanford,Pac-10,33,0,415,.471,.449,.488,.252,,,,9.3,15.7,,1.2,16.0,21.1,,0.0,1.1,1.1,.106,fieldla01,landry-fields-1
