,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
148,1971-72,25,DET,NBA,SF,18,204,17.1,.550,,.549,,,11.9,7.8,,,,,0.5,0.0,0.5,.121,quickbo01
149,1971-72,25,DLC,ABA,SF,6,57,17.8,.670,.000,.667,10.5,14.3,12.4,2.6,,17.1,17.1,,0.2,0.1,0.3,.245,quickbo01
150,1970-71,23,FLO,ABA,SF,83,2172,12.5,.480,.021,.150,,,8.8,7.2,,9.0,18.0,,0.3,1.3,1.6,.036,robinsa01
151,1971-72,24,FLO,ABA,SF,51,686,13.7,.464,.007,.227,8.0,11.2,9.6,10.2,,6.8,20.0,,-0.3,0.5,0.2,.014,robinsa01
152,1971-72,25,DLC,ABA,,1,2,-10.4,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,.016,sanforo01
153,1961-62,23,DET,NBA,PF,75,2087,15.4,.442,,.406,,,,,,,,,0.0,2.5,2.5,.057,scottra01
154,1962-63,24,DET,NBA,PF,76,2538,15.1,.468,,.412,,,,,,,,,1.0,2.5,3.5,.066,scottra01
155,1963-64,25,DET,NBA,PF,80,2964,16.9,.466,,.349,,,,,,,,,1.7,1.7,3.4,.055,scottra01
156,1964-65,26,DET,NBA,PF,66,2167,15.0,.416,,.288,,,,15.5,,,,,-1.6,2.9,1.3,.029,scottra01
157,1965-66,27,DET,NBA,PF,79,2652,17.1,.470,,.332,,,,12.8,,,,,1.9,3.4,5.3,.096,scottra01
158,1966-67,28,TOT,NBA,C-PF,72,2446,14.6,.449,,.320,,,,9.0,,,,,-0.4,2.8,2.4,.047,scottra01
159,1966-67,28,DET,NBA,C,45,1477,12.7,.428,,.302,,,,7.8,,,,,-1.1,1.9,0.8,.024,scottra01
160,1966-67,28,BAL,NBA,PF,27,969,17.5,.480,,.346,,,,10.8,,,,,0.7,0.9,1.6,.080,scottra01
161,1967-68,29,BAL,NBA,PF,81,2924,16.0,.479,,.376,,,,7.5,,,,,1.5,3.9,5.5,.090,scottra01
