,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_40,bpm-dum,obpm,dbpm,bpm,id,cbb_id
1126,2010-11,Vanderbilt,SEC,34,33,1078,19.8,.544,.500,.297,.438,493,6.5,12.8,9.9,16.2,1.9,1.7,15.9,25.9,,2.5,1.5,4.0,.149,,3.9,2.3,6.2,tayloje03,jeffery-taylor-1
1127,2011-12,Vanderbilt,SEC,36,36,1157,23.7,.580,.570,.366,.369,546,8.4,13.3,10.9,12.6,2.4,1.4,13.6,26.4,,3.6,1.6,5.2,.180,,6.4,2.2,8.6,tayloje03,jeffery-taylor-1
1128,2008-09,Kansas,Big 12,35,33,928,,.593,.557,.278,.443,,,,4.6,20.6,,0.7,22.4,19.6,,2.1,1.4,3.5,.151,,,,,tayloty01,tyshawn-taylor-1
1129,2009-10,Kansas,Big 12,36,25,831,15.6,.531,.485,.276,.433,293,2.4,8.4,5.7,24.1,3.2,0.8,19.9,17.8,,1.6,1.6,3.1,.151,,,,,tayloty01,tyshawn-taylor-1
1130,2010-11,Kansas,Big 12,36,30,977,15.1,.562,.519,.207,.471,378,1.4,6.5,4.1,27.4,2.1,1.1,24.7,19.7,,1.7,1.6,3.3,.136,,2.1,2.2,4.2,tayloty01,tyshawn-taylor-1
1131,2011-12,Kansas,Big 12,39,38,1303,19.8,.569,.538,.321,.420,635,0.7,7.5,4.2,29.7,2.4,0.5,19.5,27.5,,3.1,2.1,5.2,.159,,5.0,1.0,6.0,tayloty01,tyshawn-taylor-1
1132,2011-12,Kentucky,SEC,40,40,1303,13.2,.491,.449,.227,.338,457,1.6,7.1,4.5,25.6,1.7,0.8,21.1,20.2,,1.7,1.8,3.5,.108,,1.9,1.1,3.0,teaguma01,marquis-teague-1
1133,2011-12,Memphis,CUSA,19,8,455,15.9,.555,.539,.264,.171,148,4.1,12.3,8.5,6.5,1.4,3.2,13.7,20.1,,0.7,0.7,1.4,.120,,1.3,1.9,3.2,thomaad01,adonis-thomas-1
1134,2012-13,Memphis,CUSA,36,36,1056,15.6,.482,.439,.232,.295,409,6.1,12.0,9.0,12.4,1.3,2.4,11.7,22.9,,1.7,1.5,3.2,.123,,-0.1,1.1,1.0,thomaad01,adonis-thomas-1
1135,2008-09,Washington,Pac-10,35,34,993,,.511,.463,.311,.480,,,,,,,,14.8,,,1.4,1.6,3.0,.121,,,,,thomais02,isaiah-thomas-1
1136,2009-10,Washington,Pac-10,35,35,1089,20.1,.540,.488,.444,.475,560,2.1,11.9,7.0,19.5,1.9,0.3,13.1,27.0,,3.0,1.6,4.7,.171,,,,,thomais02,isaiah-thomas-1
1137,2010-11,Washington,Pac-10,35,35,1115,22.9,.563,.517,.408,.498,625,2.5,9.5,6.0,32.7,2.3,0.2,16.6,26.2,,4.0,1.5,5.5,.199,,7.2,1.2,8.4,thomais02,isaiah-thomas-1
1138,2007-08,Pepperdine,WCC,32,28,967,,.535,.514,.000,.635,,,,15.9,10.6,,4.4,19.4,21.8,,1.3,1.6,2.9,.121,,,,,thomama01,malcolm-thomas-2
1139,2009-10,San Diego State,MWC,34,33,1063,21.6,.548,.547,.019,.647,386,10.5,18.5,14.7,14.4,1.7,5.6,16.4,19.7,,2.4,2.1,4.5,.170,,,,,thomama01,malcolm-thomas-2
1140,2010-11,San Diego State,MWC,37,37,1126,23.9,.567,.539,.041,.549,446,11.6,19.6,15.7,14.2,1.0,7.0,17.2,20.8,,3.0,2.6,5.7,.202,,3.1,7.1,10.2,thomama01,malcolm-thomas-2
1141,2008-09,Georgia,SEC,28,23,729,,.515,.487,.278,.236,,,,15.3,7.5,,3.2,16.5,27.4,,1.0,1.4,2.4,.132,,,,,thomptr02,trey-thompkins-1
1142,2009-10,Georgia,SEC,31,29,962,25.4,.550,.509,.142,.343,504,8.3,23.0,15.9,15.8,1.9,3.8,15.4,31.3,,2.6,1.4,3.9,.164,,,,,thomptr02,trey-thompkins-1
1143,2010-11,Georgia,SEC,30,29,937,24.2,.536,.510,.184,.295,433,7.3,20.4,14.2,11.1,2.2,5.7,14.2,29.9,,1.9,2.0,3.8,.164,,1.9,3.9,5.8,thomptr02,trey-thompkins-1
1144,2009-10,Georgetown,Big East,34,2,663,12.9,.576,.566,.525,.320,162,5.3,9.4,7.5,8.5,2.8,2.3,15.6,13.1,,1.0,0.9,1.9,.116,,,,,thompho01,hollis-thompson-1
1145,2010-11,Georgetown,Big East,32,22,746,19.9,.644,.630,.487,.265,240,6.6,16.2,11.8,6.2,2.1,1.9,10.9,17.1,,2.1,0.9,3.1,.164,,5.6,2.0,7.6,thompho01,hollis-thompson-1
1146,2011-12,Georgetown,Big East,33,33,1025,19.1,.568,.551,.404,.243,381,5.5,16.5,11.2,10.5,1.4,1.7,12.9,22.5,,2.5,1.9,4.5,.174,,4.0,2.0,6.0,thompho01,hollis-thompson-1
1147,2008-09,Washington State,Pac-10,33,33,1092,,.527,.511,.437,.082,,,,,,,,15.1,,,1.7,2.2,4.0,.145,,,,,thompkl01,klay-thompson-1
1148,2009-10,Washington State,Pac-10,31,30,1096,21.0,.540,.491,.431,.342,556,4.1,13.5,8.8,15.4,2.4,2.3,15.6,31.0,,2.5,1.1,3.6,.133,,,,,thompkl01,klay-thompson-1
1149,2010-11,Washington State,Pac-10,34,33,1179,26.1,.574,.525,.446,.336,694,2.6,14.0,8.6,25.0,2.8,3.1,15.3,32.8,,3.7,2.2,5.8,.198,,6.8,3.2,10.1,thompkl01,klay-thompson-1
1150,2007-08,Pepperdine,WCC,32,24,775,,.528,.502,.679,.222,,,,6.1,9.4,,0.8,15.3,16.8,,0.8,0.6,1.4,.072,,,,,thompmy02,mychel-thompson-1
1151,2008-09,Pepperdine,WCC,32,30,910,,.430,.393,.355,.202,,,,6.9,10.1,,1.6,15.0,22.9,,-0.7,0.6,-0.1,-.003,,,,,thompmy02,mychel-thompson-1
1152,2009-10,Pepperdine,WCC,31,27,976,14.8,.459,.421,.413,.244,349,3.7,14.6,8.9,14.5,1.8,2.3,10.8,22.9,,1.1,0.4,1.5,.061,,,,,thompmy02,mychel-thompson-1
