,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,id,cbb_id
1351,1986-87,UNC,ACC,36,1,540,.514,.497,.006,.490,,,,,,,,20.2,,willisc01,scott-williams-1
1352,1987-88,UNC,ACC,34,33,900,.605,.578,.025,.562,,,,,,,,18.2,,willisc01,scott-williams-1
1353,1988-89,UNC,ACC,35,30,802,.574,.556,.007,.350,,,,,,,,15.8,,willisc01,scott-williams-1
1354,1989-90,UNC,ACC,33,30,813,.572,.555,.020,.455,,,,,,,,14.7,,willisc01,scott-williams-1
1355,1988-89,South Carolina State,MEAC,33,,809,.540,.500,.000,.730,,,,,,,,,,willitr01,travis-williams-1
1356,1989-90,South Carolina State,MEAC,29,,1040,.552,.511,.000,.509,,,,,,,,,,willitr01,travis-williams-1
1357,1990-91,South Carolina State,MEAC,28,,852,.526,.502,.015,.470,,,,,,,,,,willitr01,travis-williams-1
1358,1988-89,Maryland,ACC,26,12,617,.487,.462,.159,.312,,,,,,,,26.7,,williwa02,walt-williams-1
1359,1989-90,Maryland,ACC,33,31,993,.584,.534,.226,.453,,,,,,,,25.8,,williwa02,walt-williams-1
1360,1990-91,Maryland,ACC,17,14,537,.560,.506,.391,.354,,,,,,,,19.8,,williwa02,walt-williams-1
1361,1991-92,Maryland,ACC,29,29,1042,.595,.554,.443,.426,,,,,,,,14.6,,williwa02,walt-williams-1
1362,1983-84,LSU,SEC,28,14,520,.546,,,.369,,,,,,,,17.8,,wilsoni01,nikita-wilson-1
1363,1984-85,LSU,SEC,29,,933,.613,,,.288,,,,,,,,15.4,,wilsoni01,nikita-wilson-1
1364,1985-86,LSU,SEC,18,,520,.594,,,.430,,,,,,,,15.0,,wilsoni01,nikita-wilson-1
1365,1986-87,LSU,SEC,35,33,1219,.542,.513,.000,.364,,,,,,,,13.1,,wilsoni01,nikita-wilson-1
1366,1986-87,UCLA,Pac-10,32,0,576,.521,.445,.000,.651,,,,,,,,25.4,,wilsotr01,trevor-wilson-1
1367,1987-88,UCLA,Pac-10,30,29,1010,.544,.521,.008,.433,,,,,,,,19.2,,wilsotr01,trevor-wilson-1
1368,1988-89,UCLA,Pac-10,31,31,1066,.521,.502,.013,.450,,,,14.6,13.7,,0.9,14.4,28.3,wilsotr01,trevor-wilson-1
1369,1989-90,UCLA,Pac-10,33,33,1106,.502,.496,.006,.435,,,,14.5,16.0,,1.0,13.2,26.8,wilsotr01,trevor-wilson-1
1370,1983-84,Houston,SWC,37,,1030,.581,,,.352,,,,,,,,18.1,,winslri01,rickie-winslow-1
1371,1984-85,Houston,SWC,30,30,1037,.582,,,.346,,,,,,,,11.1,,winslri01,rickie-winslow-1
1372,1985-86,Houston,SWC,27,,985,.569,,,.498,,,,,,,,12.7,,winslri01,rickie-winslow-1
1373,1986-87,Houston,SWC,30,30,1035,.535,.523,.026,.355,,,,,,,,19.2,,winslri01,rickie-winslow-1
1374,1983-84,UNC,ACC,30,,412,.533,,,.418,,,,,,,,17.4,,wolfjo01,joe-wolf-1
1375,1984-85,UNC,ACC,30,,914,.600,,,.323,,,,,,,,20.5,,wolfjo01,joe-wolf-1
1376,1985-86,UNC,ACC,34,34,854,.552,,,.211,,,,,,,,18.7,,wolfjo01,joe-wolf-1
1377,1986-87,UNC,ACC,34,34,1005,.626,.602,.108,.235,,,,,,,,12.1,,wolfjo01,joe-wolf-1
1378,1985-86,Nevada,Big Sky,28,,805,.618,.559,.180,.404,,,,,,,,20.0,,woodda01,david-wood-1
1379,1986-87,Nevada,Big Sky,30,30,950,.570,.533,.312,.394,,,,,,,,14.5,,woodda01,david-wood-1
1380,1989-90,La Salle,MAAC,32,,1138,.522,.497,.596,.205,,,,,,,,10.5,,woodsra01,randy-woods-1
1381,1990-91,La Salle,MAAC,25,,875,.564,.523,.547,.318,,,,,,,,12.1,,woodsra01,randy-woods-1
1382,1991-92,La Salle,MAAC,31,31,1183,.558,.509,.522,.343,,,,,,,,12.9,,woodsra01,randy-woods-1
1383,1986-87,Oral Roberts,MW Coll,28,28,1086,.467,.389,.164,.444,,,,,,,,19.1,,workmha01,haywoode-workman-1
1384,1987-88,Oral Roberts,Ind,29,28,988,.498,.458,.300,.288,,,,,,,,9.9,,workmha01,haywoode-workman-1
1385,1988-89,Oral Roberts,Ind,28,26,980,.571,.527,.238,.318,,,,,,,,12.9,,workmha01,haywoode-workman-1
1386,1985-86,Stanford,Pac-10,30,27,832,.507,,,.706,,,,,,,,18.8,,wrighho02,howard-wright-1
1387,1986-87,Stanford,Pac-10,28,28,842,.550,.505,.000,.731,,,,,,,,16.6,,wrighho02,howard-wright-1
1388,1987-88,Stanford,Pac-10,33,,1098,.636,.622,.003,.616,,,,,,,,,,wrighho02,howard-wright-1
1389,1988-89,Stanford,Pac-10,33,,1002,.590,.578,.000,.483,,,,,,,,,,wrighho02,howard-wright-1
1390,1982-83,UMass,A-10,2,,14,.000,,,.000,,,,,,,,,,wyndeaj01,aj-wynder-1
1391,1983-84,Fairfield,MAAC,28,25,,.553,,,.383,,,,,,,,20.7,,wyndeaj01,aj-wynder-1
1392,1984-85,Fairfield,MAAC,28,28,899,.551,,,.365,,,,,,,,21.1,,wyndeaj01,aj-wynder-1
1393,1985-86,Fairfield,MAAC,29,29,1035,.654,,,.561,,,,,,,,20.7,,wyndeaj01,aj-wynder-1
1394,1986-87,Fairfield,MAAC,31,31,1207,.542,.482,.096,.375,,,,,,,,15.8,,wyndeaj01,aj-wynder-1
1395,1985-86,Washington,Pac-10,31,4,450,.471,,,.516,,,,,,,,23.7,,zevenph01,phil-zevenbergen-1
1396,1986-87,Washington,Pac-10,35,35,1173,.565,.515,.002,.444,,,,,,,,14.2,,zevenph01,phil-zevenbergen-1
