,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
26,,28,KEN,ABA,SG,73,2858,16.8,.523,.240,.396,,,4.3,11.6,,,11.6,23.7,,5.3,2.5,7.8,.131,carrida01
27,,29,KEN,ABA,SG,77,2805,17.0,.528,.192,.349,,,3.9,11.4,,,11.2,24.5,,5.5,2.5,8.0,.137,carrida01
28,1970-71,30,KEN,ABA,SG,84,2664,13.0,.528,.141,.331,,,3.8,11.6,,,13.2,20.0,,3.6,1.3,4.9,.088,carrida01
29,1971-72,31,KEN,ABA,SG,23,629,12.1,.499,.128,.306,1.7,6.4,4.2,9.3,,,10.4,22.3,,0.4,0.6,0.9,.072,carrida01
30,1972-73,32,MMT,ABA,SG,16,190,7.7,.525,.200,.433,1.0,6.3,3.6,6.8,,,17.4,17.6,,0.2,0.0,0.2,.051,carrida01
31,1972-73,22,MMT,ABA,PF,7,52,3.2,.392,.000,.944,20.0,15.3,17.7,0.0,4.4,3.1,38.6,30.9,,-0.1,0.0,-0.1,-0.103,cashsa01
32,1969-70,23,BAL,NBA,SG,56,1330,12.0,.499,,.328,,,,10.6,,,,,,1.0,1.2,2.2,.079,davismi01
33,1970-71,24,BUF,NBA,SG,73,1617,12.6,.468,,.339,,,5.3,14.2,,,,,,0.4,0.9,1.2,.037,davismi01
34,1971-72,25,BUF,NBA,SG,62,1068,13.5,.486,,.359,,,5.5,11.6,,,,,,0.7,0.2,0.9,.042,davismi01
35,1972-73,26,TOT,TOT,SG,51,836,10.1,.484,.068,.329,3.6,3.6,4.3,10.8,,,12.2,20.7,,0.2,0.4,0.6,.035,davismi01
36,1972-73,26,BAL,NBA,SG,13,283,10.9,.477,,.212,,,5.8,9.0,,,,,,0.1,0.3,0.4,.073,davismi01
37,1972-73,26,MMT,ABA,SG,38,553,9.7,.488,.104,.392,3.6,3.6,3.6,11.7,,,12.2,20.7,,0.0,0.1,0.2,.016,davismi01
38,1967-68,24,ANA,ABA,PF,54,1816,18.1,.501,.009,.466,,,13.6,6.3,,,12.3,20.7,,2.8,0.6,3.4,.090,daviswa02
39,,25,LAS,ABA,PF,78,2406,16.1,.551,.003,.609,,,14.7,7.7,,,16.9,16.5,,4.1,1.7,5.8,.116,daviswa02
40,1969-70,26,TOT,ABA,PF,80,2647,17.0,.556,.003,.485,,,14.8,12.4,,,20.8,18.2,,5.0,3.1,8.1,.146,daviswa02
41,1969-70,26,LAS,ABA,PF,46,1502,17.6,.554,.002,.414,,,14.6,10.1,,,18.9,20.1,,3.1,1.8,4.9,.155,daviswa02
42,1969-70,26,PTP,ABA,PF,34,1145,16.3,.558,.007,.618,,,15.1,15.5,,,23.9,15.8,,1.9,1.3,3.2,.134,daviswa02
43,1970-71,27,FLO,ABA,PF,76,1995,14.1,.504,.003,.437,,,15.0,11.4,,,17.6,18.6,,1.4,1.8,3.2,.076,daviswa02
44,1971-72,28,TOT,ABA,PF,86,2331,13.6,.529,.003,.427,9.2,18.0,13.3,10.1,,,18.3,16.1,,2.3,3.3,5.7,.116,daviswa02
45,1971-72,28,CAR,ABA,PF,41,1348,13.3,.520,.002,.351,8.9,16.8,12.7,9.4,,,17.5,17.8,,1.2,1.4,2.6,.094,daviswa02
46,1971-72,28,MMP,ABA,PF,45,983,13.9,.546,.004,.574,9.5,19.8,14.3,11.0,,,19.7,13.8,,1.1,1.9,3.0,.147,daviswa02
47,1972-73,29,MMT,ABA,SF,73,1895,13.5,.562,.000,.456,7.6,19.0,13.2,10.1,,,17.7,14.8,,2.6,0.8,3.4,.086,daviswa02
48,1970-71,23,NYA,ABA,SG,72,1707,9.2,.561,.008,.352,,,5.0,10.8,,,19.6,15.6,,2.7,0.7,3.4,.095,deprejo01
49,1971-72,24,NYA,ABA,SG,46,562,2.8,.432,.030,.269,2.8,5.5,4.2,10.5,,,22.7,20.2,,-0.6,0.2,-0.3,-0.028,deprejo01
50,1972-73,25,NYA,ABA,SG,1,12,15.6,.400,.000,.000,17.5,0.0,8.5,24.7,,,0.0,17.1,,0.0,0.0,0.0,-0.091,deprejo01
51,1972-73,23,MMT,ABA,SF,9,74,2.8,.365,.000,.294,2.6,13.4,7.9,6.6,,,17.2,12.1,,-0.1,0.0,-0.1,-0.070,fordbo01
52,1967-68,22,OAK,ABA,SF,74,2080,11.8,.452,.107,.316,,,9.8,9.1,,,14.4,21.0,,0.5,0.5,0.9,.022,franzro01
53,1968-69,23,NOB,ABA,SF,73,2195,16.1,.519,.036,.456,,,10.3,11.9,,,14.6,20.1,,3.0,2.8,5.9,.128,franzro01
